all_rounder,match_id,home_team,opposition_team,venue,bat_inning,batsman_runs,balls,strike_rate,total_batting_points,bat_fp,total_points,batting_avg_inning_points,batting_avg_venue_points,batting_avg_oppo_points,avg_strike_rate,avg_batsman_runs,bowl_inning,total_bowler_runs,maiden,economy,overs,wickets,bowling_fp,bowl_fp_avg,bowl_opp_avg,bowl_ven_avg,bowl_inn_avg,bowl_run_avg,eco_avg,maiden_avg,wicket_avg,bowl_over_avg,rating
M Manhas,289,Pune Warriors,Deccan Chargers,Barabati Stadium,2,7,4,175,4,0,4,10.5,4.5,7.5,87.9832795329877,14.7142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
M Manhas,291,Pune Warriors,Mumbai Indians,Subrata Roy Sahara Stadium,2,42,35,120,31,0,31,11.7058823529412,24.5,7,89.0873043766778,15.6551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
M Manhas,294,Pune Warriors,Kolkata Knight Riders,Eden Gardens,2,1,3,33.3333333333333,1,0,1,11.1111111111111,1,1,87.228838675233,15.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,299,Pune Warriors,Rajasthan Royals,Subrata Roy Sahara Stadium,1,11,9,122.222222222222,8,0,8,10.7692307692308,19,12.5,88.3576574993294,15.0322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
M Manhas,354,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,2,11,13,84.6153846153846,8,0,8,10.9473684210526,4.66666666666667,6.4,88.2407114717061,14.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,360,Pune Warriors,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2,2,4,50,2,0,2,10.5,2,8,87.0819020331696,14.5151515151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,406,Chennai Super Kings,Delhi Daredevils,Sheikh Zayed Stadium,1,13,6,216.666666666667,7,0,7,10.5,7,7.66666666666667,90.8932186400371,14.4705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
M Manhas,408,Chennai Super Kings,Rajasthan Royals,Dubai International Cricket Stadium,1,10,11,90.9090909090909,7,0,7,10.2666666666667,7,11.4,90.8936721334387,14.3428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,415,Chennai Super Kings,Sunrisers Hyderabad,Sharjah Cricket Stadium,2,3,4,75,3,0,3,10.1428571428571,3,3,90.4521812408431,14.0277777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,427,Chennai Super Kings,Kings XI Punjab,Barabati Stadium,2,8,4,200,5,0,5,9.90909090909091,4.66666666666667,20.1666666666667,93.4129330991987,13.8648648648649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
M Manhas,430,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,2,1,1,100,1,0,1,9.52173913043478,-0.5,5.8,93.5862769650093,13.5263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
MC Henriques,62,Kolkata Knight Riders,Deccan Chargers,Newlands,1,6,8,75,6,0,6,6,6,6,75,6,2,4,0,4,1,0,8,0,8,8,8,4,4,0,0,1,8
MC Henriques,87,Kolkata Knight Riders,Delhi Daredevils,Kingsmead,1,30,24,125,25,0,25,15.5,25,25,100,18,2,36,0,9,4,0,8,16.5,8,16.5,8,24,7,0,0.333333333333333,3,8.5
MC Henriques,94,Kolkata Knight Riders,Delhi Daredevils,New Wanderers Stadium,1,2,8,25,2,0,2,11,2,13.5,75,12.6666666666667,2,35,0,8.75,4,1,33,13.6666666666667,20.5,33,16.3333333333333,26.75,7.4375,0,0.5,3.25,9
MC Henriques,130,Delhi Daredevils,Deccan Chargers,Barabati Stadium,2,11,5,220,5,0,5,5,5,5.5,111.25,12.25,1,35,0,8.75,4,1,33,22,20.5,33,29,28.4,7.7,0,0.6,3.4,9.5
MC Henriques,328,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1,44,40,110,33,0,33,16.5,33,33,111,18.6,2,14,0,4.66666666666667,3,2,64,24.6666666666667,64,64,28.25,26,7.19444444444444,0,0.833333333333333,3.33333333333333,8.5
MC Henriques,331,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,2,7,9,77.7777777777778,4,0,4,4.5,4,18.5,105.462962962963,16.6666666666667,1,18,0,18,1,0,0,43.3333333333333,32,0,19.3333333333333,24.8571428571429,8.73809523809524,0,0.714285714285714,3,8
MC Henriques,363,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,1,22,19,115.789473684211,13,0,13,15.8,13,13,106.938178780284,17.4285714285714,2,6,0,3,2,1,39,41.3333333333333,39,39,30.4,22.6666666666667,7.7962962962963,0,0.888888888888889,3,8.5
MC Henriques,368,Royal Challengers Bangalore,Pune Warriors,Subrata Roy Sahara Stadium,1,27,13,207.692307692308,18,0,18,16.1666666666667,18,18,119.532444894287,18.625,2,44,0,11,4,2,56,33,56,56,34.6666666666667,24.8,8.11666666666667,0,1,3.1,9.5
MC Henriques,373,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",1,16,7,228.571428571429,7,0,7,14.8571428571429,7,7,131.647887525081,18.3333333333333,2,29,0,9.66666666666667,3,0,8,51.6666666666667,16.5,8,30.8571428571429,25.1818181818182,8.25757575757576,0,0.909090909090909,3.09090909090909,9.5
